Date,MW-1-5,MW-1-10,MW-1-15,MW-2-5,MW-2-10,MW-2-15,MW-3-5,MW-3-10,MW-3-15,MW-4-5,MW-4-10,MW-4-15,MW-5-5,MW-5-10,MW-5-15,MW-6-5,MW-6-10,MW-6-15,MW-7-5,MW-7-10,MW-7-15,MW-8-5,MW-8-10,MW-8-15,MW-9-5,MW-9-10,MW-9-15,MW-10-5,MW-10-10,MW-10-15,MW-11-5,MW-11-10,MW-11-15,MW-12-5,MW-12-10,MW-12-15,MW-13-5,MW-13-15,MW-13-25,MW-14-5,MW-14-15,MW-14-25,MW-15-5,MW-15-15,MW-15-25,NE-PT-5,NE-PT-10,NE-PT-15,NE-PT-20,NE-PT-25,NE-PT-30,S-PT-5,S-PT-10,S-PT-15,S-PT-20,S-PT-25,S-PT-30,SW-BRIDGE-1,SW-CONFLUENCE-1,CAL-STT-4,CAL-STT-7,CAL-STT-10,CAL-STP-4,CAL-STP-7,CAL-STP-10
11/3/2017,7.07,6.12,5.59,6.05,6.12,6.11,6.62,6.47,6.34,11.35,11.88,11.9,11.89,12.17,12.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.6,8.18,7.87,11.25,11.42,11.47,10.29,9.63,8.65,11.08,12.02,12.14,7.09,8.06,8.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.97,7.64,7.27,6.83,6.63,#N/A,5.97,5.97,5.91,5.64,5.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/29/2017,4,4.35,4.38,6.22,6.2,6.19,5.77,5.94,5.96,12.39,12.38,12.36,12.59,12.62,12.6,12.37,12.25,12.19,12.46,12.68,12.7,7.73,7.24,7.17,12.03,11.98,11.93,10.5,10.4,10.32,12.38,12.35,12.33,6.75,8.05,7.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.3,6.4,6.22,6.22,6.22,6.31,6.07,6.2,6.21,6.21,5.97,5.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/13/2017,5.37,5.64,5.51,6.63,6.38,6.33,6.08,6.16,6.18,12.73,12.67,12.63,12.38,12.65,12.66,11.8,12.13,12.19,11.5,12.46,12.67,8.76,7.67,7.29,11.51,11.88,11.92,9.7,9.89,9.91,12.36,12.36,12.35,6.69,8.72,7.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.69,6.39,6.34,6.33,6.34,6.49,5.99,6.3,6.38,6.41,6.37,6.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/29/2017,5.4,5.45,5.37,6.47,6.5,6.46,6.12,6.29,6.31,12.76,12.87,12.82,12.87,12.86,12.81,12.3,12.37,12.32,11.03,12.46,12.77,7.45,7.21,7.16,12.3,12.27,12.19,9.97,9.93,9.86,12.51,12.48,12.43,6.71,8.51,7.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.57,6.46,6.46,6.46,6.43,6.59,6.57,6.65,6.64,6.56,6.57,6.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/11/2018,6.55,6.33,6.14,6.78,6.59,6.52,6.72,6.53,6.43,12.96,13.01,12.93,12.81,12.97,12.89,12.45,12.47,12.38,12.59,12.95,12.96,7.76,7.42,7.26,12.51,12.43,12.28,9.89,9.81,9.78,12.54,12.54,12.46,6.37,8.49,7.89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.02,6.62,6.56,6.53,6.52,6.61,6.88,6.75,6.66,6.53,6.5,6.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/24/2018,6.09,5.91,5.74,6.18,6.21,6.2,6.3,6.2,6.15,12.71,12.73,12.66,12.81,12.73,12.6,11.65,11.78,11.83,11.6,12.33,12.45,7.71,7.18,6.94,11.89,11.94,11.96,10.57,10.2,10.04,12.33,12.3,12.25,6.9,8.06,7.82,6.67,6.39,5.72,7.54,7.14,7.12,12.66,9.64,10.58,6.72,6.29,6.24,6.21,6.21,6.2,6.54,6.48,6.45,6.3,6.28,6.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/9/2018,5.21,6.03,6.22,6.4,6.05,6.03,6.83,6.38,6.17,12.59,12.59,12.61,12.78,12.73,12.64,12.26,12.23,12.1,12.53,12.78,12.75,7.77,7.26,6.97,12.15,12.11,12.02,10.29,10.35,10.25,12.31,12.3,12.21,6.79,8.17,7.37,6.53,6.19,5.64,8.76,7.64,7.26,12.22,9.87,11.17,6.7,6.17,6.06,5.99,5.81,5.79,7.71,6.92,6.63,6.48,6.41,6.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/20/2018,#N/A,#N/A,#N/A,7.47,7.38,7.07,8.22,7.81,7.29,13.9,13.72,13.52,13.66,13.21,12.72,12.53,12.41,12.27,13.1,13.06,12.9,8.41,8.21,8.11,13.11,12.98,12.67,11.09,11.36,11.21,12.11,11.98,11.99,#N/A,#N/A,#N/A,7.86,7.25,6.61,7.91,7.89,7.11,12.85,11,11.81,6.83,6.62,6.52,5.92,5.82,5.79,7.81,7.61,6.94,6.81,6.59,6.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/13/2018,5.45,4.87,4.74,6.89,6.6,6.38,7.54,6.8,6.49,12.69,12.83,12.77,12.34,12.71,12.71,12.54,12.36,12.21,12.28,12.6,12.66,8.18,7.66,7.31,12.15,12.13,12.06,11.38,11.03,10.91,12.4,12.35,12.29,6.64,7.97,7.39,6.32,6.43,6.04,7.82,7.49,6.84,12.38,11.63,11.41,7.01,6.51,6.33,6.24,6.18,5.95,7.03,6.77,6.62,6.35,6.32,6.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/18/2018,4.34,4.04,4.07,6.32,6.44,6.43,6.27,6.32,6.29,12.38,12.53,12.55,12.46,12.61,12.62,12.28,12.29,12.22,12.42,12.64,12.67,9.44,8.52,7.89,12.1,12.14,12.11,11.35,11.17,11.05,11.99,12.21,12.25,6.67,7.95,7.66,7.86,6.87,6.46,7.63,7.36,6.92,12.32,10.85,11.61,8.93,8.06,7.49,7.03,6.63,6.44,6.35,6.56,6.43,6.05,6.04,6.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
