Date,Source Type,Source ID,Source Detail,Reading
43042,MW,1,5,7.07
43042,MW,1,10,6.12
43042,MW,1,15,5.59
43042,MW,2,5,6.05
43042,MW,2,10,6.12
43042,MW,2,15,6.11
43042,MW,3,5,6.62
43042,MW,3,10,6.47
43042,MW,3,15,6.34
43042,MW,4,5,11.35
43042,MW,4,10,11.88
43042,MW,4,15,11.9
43042,MW,5,5,11.89
43042,MW,5,10,12.17
43042,MW,5,15,12.27
43042,MW,6,5,#N/A
43042,MW,6,10,#N/A
43042,MW,6,15,#N/A
43042,MW,7,5,#N/A
43042,MW,7,10,#N/A
43042,MW,7,15,#N/A
43042,MW,8,5,8.6
43042,MW,8,10,8.18
43042,MW,8,15,7.87
43042,MW,9,5,11.25
43042,MW,9,10,11.42
43042,MW,9,15,11.47
43042,MW,10,5,10.29
43042,MW,10,10,9.63
43042,MW,10,15,8.65
43042,MW,11,5,11.08
43042,MW,11,10,12.02
43042,MW,11,15,12.14
43042,MW,12,5,7.09
43042,MW,12,10,8.06
43042,MW,12,15,8.15
43042,MW,13,5,#N/A
43042,MW,13,15,#N/A
43042,MW,13,25,#N/A
43042,MW,14,5,#N/A
43042,MW,14,15,#N/A
43042,MW,14,25,#N/A
43042,MW,15,5,#N/A
43042,MW,15,15,#N/A
43042,MW,15,25,#N/A
43042,NE,PT,5,7.97
43042,NE,PT,10,7.64
43042,NE,PT,15,7.27
43042,NE,PT,20,6.83
43042,NE,PT,25,6.63
43042,NE,PT,30,#N/A
43042,S,PT,5,5.97
43042,S,PT,10,5.97
43042,S,PT,15,5.91
43042,S,PT,20,5.64
43042,S,PT,25,5.47
43042,S,PT,30,#N/A
43042,SW,BRIDGE,1,#N/A
43042,SW,CONFLUENCE,1,#N/A
43042,CAL,STT,4,#N/A
43042,CAL,STT,7,#N/A
43042,CAL,STT,10,#N/A
43042,CAL,STP,4,#N/A
43042,CAL,STP,7,#N/A
43042,CAL,STP,10,#N/A
43068,MW,1,5,4
43068,MW,1,10,4.35
43068,MW,1,15,4.38
43068,MW,2,5,6.22
43068,MW,2,10,6.2
43068,MW,2,15,6.19
43068,MW,3,5,5.77
43068,MW,3,10,5.94
43068,MW,3,15,5.96
43068,MW,4,5,12.39
43068,MW,4,10,12.38
43068,MW,4,15,12.36
43068,MW,5,5,12.59
43068,MW,5,10,12.62
43068,MW,5,15,12.6
43068,MW,6,5,12.37
43068,MW,6,10,12.25
43068,MW,6,15,12.19
43068,MW,7,5,12.46
43068,MW,7,10,12.68
43068,MW,7,15,12.7
43068,MW,8,5,7.73
43068,MW,8,10,7.24
43068,MW,8,15,7.17
43068,MW,9,5,12.03
43068,MW,9,10,11.98
43068,MW,9,15,11.93
43068,MW,10,5,10.5
43068,MW,10,10,10.4
43068,MW,10,15,10.32
43068,MW,11,5,12.38
43068,MW,11,10,12.35
43068,MW,11,15,12.33
43068,MW,12,5,6.75
43068,MW,12,10,8.05
43068,MW,12,15,7.49
43068,MW,13,5,#N/A
43068,MW,13,15,#N/A
43068,MW,13,25,#N/A
43068,MW,14,5,#N/A
43068,MW,14,15,#N/A
43068,MW,14,25,#N/A
43068,MW,15,5,#N/A
43068,MW,15,15,#N/A
43068,MW,15,25,#N/A
43068,NE,PT,5,7.3
43068,NE,PT,10,6.4
43068,NE,PT,15,6.22
43068,NE,PT,20,6.22
43068,NE,PT,25,6.22
43068,NE,PT,30,6.31
43068,S,PT,5,6.07
43068,S,PT,10,6.2
43068,S,PT,15,6.21
43068,S,PT,20,6.21
43068,S,PT,25,5.97
43068,S,PT,30,5.93
43068,SW,BRIDGE,1,#N/A
43068,SW,CONFLUENCE,1,#N/A
43068,CAL,STT,4,#N/A
43068,CAL,STT,7,#N/A
43068,CAL,STT,10,#N/A
43068,CAL,STP,4,#N/A
43068,CAL,STP,7,#N/A
43068,CAL,STP,10,#N/A
43082,MW,1,5,5.37
43082,MW,1,10,5.64
43082,MW,1,15,5.51
43082,MW,2,5,6.63
43082,MW,2,10,6.38
43082,MW,2,15,6.33
43082,MW,3,5,6.08
43082,MW,3,10,6.16
43082,MW,3,15,6.18
43082,MW,4,5,12.73
43082,MW,4,10,12.67
43082,MW,4,15,12.63
43082,MW,5,5,12.38
43082,MW,5,10,12.65
43082,MW,5,15,12.66
43082,MW,6,5,11.8
43082,MW,6,10,12.13
43082,MW,6,15,12.19
43082,MW,7,5,11.5
43082,MW,7,10,12.46
43082,MW,7,15,12.67
43082,MW,8,5,8.76
43082,MW,8,10,7.67
43082,MW,8,15,7.29
43082,MW,9,5,11.51
43082,MW,9,10,11.88
43082,MW,9,15,11.92
43082,MW,10,5,9.7
43082,MW,10,10,9.89
43082,MW,10,15,9.91
43082,MW,11,5,12.36
43082,MW,11,10,12.36
43082,MW,11,15,12.35
43082,MW,12,5,6.69
43082,MW,12,10,8.72
43082,MW,12,15,7.79
43082,MW,13,5,#N/A
43082,MW,13,15,#N/A
43082,MW,13,25,#N/A
43082,MW,14,5,#N/A
43082,MW,14,15,#N/A
43082,MW,14,25,#N/A
43082,MW,15,5,#N/A
43082,MW,15,15,#N/A
43082,MW,15,25,#N/A
43082,NE,PT,5,6.69
43082,NE,PT,10,6.39
43082,NE,PT,15,6.34
43082,NE,PT,20,6.33
43082,NE,PT,25,6.34
43082,NE,PT,30,6.49
43082,S,PT,5,5.99
43082,S,PT,10,6.3
43082,S,PT,15,6.38
43082,S,PT,20,6.41
43082,S,PT,25,6.37
43082,S,PT,30,6.39
43082,SW,BRIDGE,1,#N/A
43082,SW,CONFLUENCE,1,#N/A
43082,CAL,STT,4,#N/A
43082,CAL,STT,7,#N/A
43082,CAL,STT,10,#N/A
43082,CAL,STP,4,#N/A
43082,CAL,STP,7,#N/A
43082,CAL,STP,10,#N/A
43098,MW,1,5,5.4
43098,MW,1,10,5.45
43098,MW,1,15,5.37
43098,MW,2,5,6.47
43098,MW,2,10,6.5
43098,MW,2,15,6.46
43098,MW,3,5,6.12
43098,MW,3,10,6.29
43098,MW,3,15,6.31
43098,MW,4,5,12.76
43098,MW,4,10,12.87
43098,MW,4,15,12.82
43098,MW,5,5,12.87
43098,MW,5,10,12.86
43098,MW,5,15,12.81
43098,MW,6,5,12.3
43098,MW,6,10,12.37
43098,MW,6,15,12.32
43098,MW,7,5,11.03
43098,MW,7,10,12.46
43098,MW,7,15,12.77
43098,MW,8,5,7.45
43098,MW,8,10,7.21
43098,MW,8,15,7.16
43098,MW,9,5,12.3
43098,MW,9,10,12.27
43098,MW,9,15,12.19
43098,MW,10,5,9.97
43098,MW,10,10,9.93
43098,MW,10,15,9.86
43098,MW,11,5,12.51
43098,MW,11,10,12.48
43098,MW,11,15,12.43
43098,MW,12,5,6.71
43098,MW,12,10,8.51
43098,MW,12,15,7.81
43098,MW,13,5,#N/A
43098,MW,13,15,#N/A
43098,MW,13,25,#N/A
43098,MW,14,5,#N/A
43098,MW,14,15,#N/A
43098,MW,14,25,#N/A
43098,MW,15,5,#N/A
43098,MW,15,15,#N/A
43098,MW,15,25,#N/A
43098,NE,PT,5,6.57
43098,NE,PT,10,6.46
43098,NE,PT,15,6.46
43098,NE,PT,20,6.46
43098,NE,PT,25,6.43
43098,NE,PT,30,6.59
43098,S,PT,5,6.57
43098,S,PT,10,6.65
43098,S,PT,15,6.64
43098,S,PT,20,6.56
43098,S,PT,25,6.57
43098,S,PT,30,6.56
43098,SW,BRIDGE,1,#N/A
43098,SW,CONFLUENCE,1,#N/A
43098,CAL,STT,4,#N/A
43098,CAL,STT,7,#N/A
43098,CAL,STT,10,#N/A
